source,source_id,university,title,title_type,university_id,university_type,branch,center,modality,language,credits,status,memory_url,report_url,source_url,memory_resolution_source,memory_resolution_status,memory_resolution_error,description,description_source_type,description_source_url,description_status,description_quality_flag,description_source,scraped_at
university_official_live,ull_9da098cf144b,Universidad de La Laguna,Doble Grado en Bellas Artes y en Diseño,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/bellas-artes-y-diseno/,,,,"El Doble Grado en Bellas Artes y en Diseño por la Universidad de La Laguna surge como respuesta a la necesidad de formar perfiles profesionales híbridos, capaces de integrar las competencias expresivas y conceptuales del arte contemporáneo con las competencias proyectuales, funcionales y tecnológicas del diseño. Esta doble titulación responde a un contexto en el que las industrias culturales y creativas —particularmente aquellas vinculadas a la imagen, la animación, la comunicación visual y el diseño gráfico y digital— demandan profesionales con una formación transversal, versátil y especializada. Sectores como la ilustración editorial y publicitaria, la animación 2D y 3D, el diseño gráfico y audiovisual, los videojuegos, la comunicación interactiva o el diseño de experiencias digitales (UI/UX), requieren de profesionales que dominen tanto los lenguajes artísticos como las herramientas técnicas y estratégicas del diseño.",university_program_page,https://www.ull.es/grados/bellas-artes-y-diseno/,ok,high,university_program_page,2026-04-30T09:44:11.327013+00:00
university_official_live,ull_7f78026df903,Universidad de La Laguna,Doble Grado en Español: Lengua y Literatura y en Estudios Clásicos,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/espanol-y-estudios-clasicos/,,,,"En un mundo cada vez más globalizado y competitivo, se precisan profesionales con una formación académica completa y multidisciplinar. En este sentido, el Doble Grado en Español: Lengua y Literatura y Estudios Clásicos de la Universidad de La Laguna ofrece una formación filológica completa en el estudio de dos disciplinas complementarias: la lengua y literatura españolas y la antigüedad clásica. Por un lado, la antigüedad clásica y sus manifestaciones culturales son el origen de la tradición intelectual y artística occidental, por lo que su estudio ofrece una perspectiva histórica fundamental para comprender la lengua y literatura hispánicas. Por otra parte, la cultura literaria y el idioma español ocupan una posición destacada en el panorama internacional y dominar las relaciones con ellos o sobre ellos resulta cada vez más una necesidad en diversos sectores (empresariales, diplomacia, educación, comercio, turismo, etc.).",university_program_page,https://www.ull.es/grados/espanol-y-estudios-clasicos/,ok,high,university_program_page,2026-04-30T09:44:13.028082+00:00
university_official_live,ull_4f842de139af,Universidad de La Laguna,Doble Grado en Estudios Ingleses y en Estudios Francófonos Aplicados,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/frances-e-ingles/,,,,"En un mundo cada vez más interconectado, el dominio de múltiples lenguas se ha convertido en una ventaja competitiva crucial. Un doble grado en Estudios Ingleses y Estudios Francófonos Aplicados proporciona una formación integral en dos de las lenguas más importantes a nivel global, inglés y francés, preparando al alumnado para desempeñarse eficazmente en entornos internacionales donde la capacidad de comunicarse en diferentes idiomas y culturas es esencial. El Grado en Estudios Ingleses aporta un conocimiento profundo de la lengua inglesa, su literatura y su cultura, así como una sólida formación en lingüística y teoría de la literatura. Capacita al alumnado para analizar y comprender textos complejos, desarrollar habilidades de comunicación oral y escrita de alto nivel, y adquirir una visión crítica de la sociedad y la cultura anglófonas.",university_program_page,https://www.ull.es/grados/frances-e-ingles/,ok,high,university_program_page,2026-04-30T09:44:14.762194+00:00
university_official_live,ull_d09eb2019395,Universidad de La Laguna,Doble Grado en Historia y en Geografía y Ordenación del Territorio,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/historia-y-geografia/,,,,"El Doble Grado en Historia y Ordenación del Territorio ofrece una formación innovadora y multidisciplinar, pensada para quienes buscan comprender y actuar sobre los grandes retos del mundo actual. Cambio climático, sostenibilidad ambiental, conflictos geopolíticos, migraciones, desigualdades sociales, planificación territorial, promoción y conservación del Patrimonio cultural, diversidad sociocultural y transformación tecnológica son algunos ámbitos que este programa aborda de manera integrada. A lo largo de cinco años, el estudiantado obtiene dos titulaciones de Grado que le capacitan para analizar, interpretar y gestionar con rigor las dinámicas sociales, culturales y territoriales. La combinación del conocimiento histórico y geográfico proporciona una preparación crítica, sólida y versátil, esencial para entender las complejidades del presente.",university_program_page,https://www.ull.es/grados/historia-y-geografia/,ok,high,university_program_page,2026-04-30T09:44:16.464900+00:00
university_official_live,ull_bb3baba313e8,Universidad de La Laguna,Doble Grado en Historia y en Historia del Arte,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/historia-e-historia-del-arte/,,,,"El Doble Grado en Historia e Historia del Arte propone una formación integral que articula dos disciplinas estrechamente vinculadas, unidas por objetivos científicos comunes y métodos de análisis complementarios. Su diseño responde a la evolución reciente de ambas áreas de conocimiento y a la creciente demanda social de profesionales capaces de interpretar de manera crítica el pasado y sus expresiones culturales. A través de este itinerario académico, el estudiantado desarrolla una comprensión profunda de los procesos históricos y de las manifestaciones artísticas que los acompañan, explorando las dinámicas sociales, culturales y estéticas que han modelado la diversidad de las sociedades humanas a lo largo del tiempo. El programa combina el estudio de los procesos históricos con el análisis del Arte, concediendo especial importancia a ambos y reconociendo la dimensión cultural como clave para interpretar tanto el pasado como el presente.",university_program_page,https://www.ull.es/grados/historia-e-historia-del-arte/,ok,high,university_program_page,2026-04-30T09:44:18.455638+00:00
university_official_live,ull_e61b4a4ef402,Universidad de La Laguna,Grado en Biología,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/biologia/,,,,"El Grado en Biología de la Universidad de La Laguna ofrece una formación integral en el estudio de los seres vivos, desde sus bases moleculares hasta su interacción con el medio ambiente. La profesión de biólogo tiene un estatus de profesión regulada, al ser reconocida como tal por el Estado mediante la creación del Colegio Oficial de Biólogos (COB) (Ley 75/1980, de 26 de diciembre) con unas competencias profesionales reconocidas legalmente, que quedan recogidas en los Estatutos del COB. El Grado en Biología va dirigido a estudiantes interesados en el estudio de la vida en todas sus manifestaciones: origen y evolución, diversidad, estructura y funcionamiento, las leyes que las rigen, las relaciones de los seres vivos entre sí y con el medio. El perfil del estudiante es el de una persona con capacidad de análisis y síntesis, capacidad de observación y de deducción, creatividad y capacidad de innovación, sentido crítico riguroso e interés por la investigación. Es muy recomendable haber cursado en el bachillerato las asignaturas de matemáticas, física y química. También se recomienda tener conocimientos de inglés.",university_program_page,https://www.ull.es/grados/biologia/,ok,high,university_program_page,2026-04-30T09:44:18.735049+00:00
university_official_live,ull_b78a969c0c6d,Universidad de La Laguna,Grado en Ciencias Ambientales,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/ciencias-ambientales/,,,,"Este título responde a la necesidad actual de desarrollar metodologías y herramientas para el estudio y la protección de nuestro entorno ambiental. La sociedad precisa del trabajo de profesionales que sean capaces de abordar las cuestiones medioambientales desde una perspectiva multidisciplinar, conjugando acciones de ámbito natural, social e industrial, con un compromiso basado en la sostenibilidad de nuestro planeta, como respuesta a las exigencias legales propuestas desde los distintos gobiernos e instituciones a nivel mundial. El graduado en Ciencias Ambientales debe ser un profesional versátil preparado para hacer frente a un amplio abanico de funciones, destacando el conocimiento de los recursos naturales susceptibles de ser afectados, la gestión de la calidad ambiental en la empresa y organizaciones, así como la realización de estudios ambientales sobre aspectos relacionados con la ecología, el medio agrario, urbano e industrial. En el Título “Graduado/a en Ciencias Ambientales”, dentro de los 240 ECTS preceptivos, existe la opción de realizar 24 ECTS de asignaturas optativas, lo que permite alcanzar el perfil de dos Menciones diferentes: “Evaluación y Gestión del Medio Natural” ó “Gestión de aguas y Residuos”, si se cumplen unos determinados requisitos en la elección de la optatividad. Igualmente está la posibilidad de graduarse cursando los 24 ECTS optativos sin ajustarse a los requisitos que establece cada una de las Menciones.",university_program_page,https://www.ull.es/grados/ciencias-ambientales/,ok,high,university_program_page,2026-04-30T09:44:18.946779+00:00
university_official_live,ull_f4caa4f328bf,Universidad de La Laguna,Grado en Física,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/fisica/,,,,"La física, parte integral de la cultura del siglo XXI, es una ciencia experimental que ha sido fundamental en el desarrollo de la humanidad, cuyas aportaciones al conocimiento han transformado nuestra comprensión de la realidad y la interacción con el entorno. El objetivo del Grado en Física es comprender las leyes que rigen el universo y los fenómenos naturales, desarrollando el razonamiento y las herramientas matemáticas y computacionales necesarias, así como las habilidades para trabajar en laboratorio, experimentar y obtener e interpretar datos. En definitiva, el propósito de esta titulación es formar profesionales versátiles, preparados para ocupar puestos de trabajo en una amplio espectro de oportunidades laborales vinculadas a la aplicación de la física y de la metodología científica.",university_program_page,https://www.ull.es/grados/fisica/,ok,high,university_program_page,2026-04-30T09:44:19.267058+00:00
university_official_live,ull_876d9771ead5,Universidad de La Laguna,Grado en Matemáticas,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/matematicas/,,,,"Las matemáticas se desarrollan como disciplina científica básica, como lenguaje de la ciencia y como herramienta necesaria para modelizar la realidad. Las matemáticas están en la base de cualquier avance de las ingenierías, las finanzas, las ciencias o las tecnologías de la información. Esta oferta proporcionará un adecuado nivel científico al alumnado que opte por estos estudios, preparándoles para un futuro con alto grado de competitividad, que les abrirá numerosas puertas en el mundo laboral, y también les posibilitará la realización de másteres en diferentes campos de la ciencia. La titulación está recomendada para personas que hayan cursado en Bachillerato la materia de matemáticas científicas. También se recomienda, aunque no es imprescindible, haber cursado la materia de física. Asimismo se recomienda que los estudiantes tengan conocimientos de inglés a nivel de Bachillerato o equivalente.",university_program_page,https://www.ull.es/grados/matematicas/,ok,high,university_program_page,2026-04-30T09:44:19.460665+00:00
university_official_live,ull_04a5a2661c2e,Universidad de La Laguna,Grado en Química,grado,ull,publica,,,,,,,,,https://www.ull.es/grados/quimica/,,,,"El Grado en Química ha obtenido en 2020 el sello de calidad Chemistry Eurobachelor Ⓡ , con validez hasta 2026. Esta distinción acredita que se cumplen los estándares internacionales de calidad establecidos por la European Chemistry Thematic Network Association (ECTN), en el ámbito de la Química. El sello Chemistry Eurobachelor Ⓡ está en estrecha relación con las expectativas del mercado laboral y facilita la movilidad académica y profesional de los graduados y graduadas. Puede encontrar más información acerca de los beneficios que aporta el sello Chemistry Eurobachelor Ⓡ en la web de Aneca y en la de ECTN . La química es una ciencia eminentemente básica y experimental que estudia y aprovecha las transformaciones conjuntas de la materia y la energía. Poseer el título del Grado en Química y desarrollar una carrera profesional en esta disciplina conlleva la contribución a la resolución de problemas de alto interés social en áreas muy diversas como: nuevos materiales, energía, industria, medio ambiente, nutrición, salud, consumo, biotecnología y agricultura.",university_program_page,https://www.ull.es/grados/quimica/,ok,high,university_program_page,2026-04-30T09:44:20.047367+00:00
