university_id,canonical_name,university_type,aliases
ull,Universidad de La Laguna,publica,universidad de la laguna|u. de la laguna|universidad laguna
ulpgc,Universidad de Las Palmas de Gran Canaria,publica,universidad de las palmas de gran canaria|ulpgc|u. las palmas de gran canaria
uec,Universidad Europea de Canarias,privada,universidad europea de canarias|universidad europea canarias
uam,Universidad del Atlántico Medio,privada,universidad del atlantico medio|universidad del atlántico medio|atlantico medio
ufpc,Universidad Fernando Pessoa-Canarias (UFP-C),privada,universidad fernando pessoa-canarias (ufp-c)|universidad fernando pessoa canarias|ufp-c
