municipality,island,province
Las Palmas de Gran Canaria,Gran Canaria,Las Palmas
Santa Cruz de Tenerife,Tenerife,Santa Cruz de Tenerife
San Cristobal de La Laguna,Tenerife,Santa Cruz de Tenerife
Arrecife,Lanzarote,Las Palmas
Puerto del Rosario,Fuerteventura,Las Palmas
